userName,at,score,content,polarity_score,sentiment,content_stopwords,tokenized_stemmed,cleaned_tokenized_stemmed
Satrio Umri,11/4/2023 12:41,5,tolong untuk top up kerjasama dengan dana masih perlu dilengkapi,15,POSITIVE,untuk top up kerjasama dana perlu dilengkapi,"['top', 'up', 'kerjasama', 'dana', 'lengkap']",top up kerjasama dana lengkap
Mulyana,10/31/2023 21:05,2,bagaimana sih ini password sama username  sama tapi ini enggak bisa dibuka,6,POSITIVE,bagaimana sih password sama username  sama ini enggak dibuka,"['sih', 'password', 'username', 'buka']",sih password username buka
Bung Fata,10/31/2023 9:37,3,aplikasinya sudah bagus namun pembayaran payment digital tidak semua tercantum jadi susah untuk top up,-4,NEGATIVE,aplikasinya bagus pembayaran payment digital semua tercantum jadi susah top up,"['aplikasi', 'bagus', 'bayar', 'payment', 'digital', 'cantum', 'susah', 'top', 'up']",aplikasi bagus bayar payment digital cantum susah top up
RINDANG SYAMSUDIN,10/31/2023 9:13,1,kartu atm  gratis gak,4,POSITIVE,kartu atm  gratis gak,"['kartu', 'atm', 'gratis', 'gak']",kartu atm gratis gak
Muhammad Saryulis,10/28/2023 9:34,4,untuk saat ini sudah bagus cuma tambahkan ewallet lainnya seperti topup shopeepay dana dan juga tambahin mode gelap,-1,NEGATIVE,saat sudah bagus cuma tambahkan ewallet lainnya topup shopeepay dana juga tambahin mode gelap,"['bagus', 'tambah', 'ewallet', 'topup', 'shopeepay', 'dana', 'tambahin', 'mode', 'gelap']",bagus tambah ewallet topup shopeepay dana tambahin mode gelap
Hery Afrizal,10/24/2023 22:32,1,tolong top up dananya di tambahkan karena saya pakai dana dan sangat dibutuhkan kalau sudah tambahkan dana nanti aku kasih bintang,8,POSITIVE,top up dananya tambahkan saya pakai dana sangat dibutuhkan kalau tambahkan dana aku kasih bintang,"['top', 'up', 'dana', 'tambah', 'pakai', 'dana', 'butuh', 'tambah', 'dana', 'kasih', 'bintang']",top up dana tambah pakai dana butuh tambah dana kasih bintang
Risti Sarah,10/19/2023 21:03,1,pin salah pin salah padahal pin tidak pernah diganti,-13,NEGATIVE,pin salah pin salah padahal pin pernah diganti,"['pin', 'salah', 'pin', 'salah', 'pin', 'ganti']",pin salah pin salah pin ganti
Gado Gado Aceh,10/14/2023 22:40,5,kenapa daftar transaksi tidak ada lagi di menu utama,-5,NEGATIVE,daftar transaksi ada di menu utama,"['daftar', 'transaksi', 'menu', 'utama']",daftar transaksi menu utama
Muliadi Czi,10/14/2023 14:07,1,ribet dan ruwet berurusan dengan action bank aceh setiap ganti smartphone harus datang ke bank aceh untuk aktivasi ulang bagaimana dgn nasabah yang tinggal diluar aceh apakah mereka harus pulang ke aceh setiap kali ganti smartphone aplikasi mobile dari bank lain enggak begitu banget aman juga data  bahkan ada yang bisa buka rekening online dan daftar aplikasi mobile online kalau begini ceritanya selamat tinggal saja bank aceh,-38,NEGATIVE,ribet ruwet berurusan action bank aceh ganti smartphone datang bank aceh aktivasi ulang bagaimana dgn nasabah tinggal diluar aceh mereka pulang aceh kali ganti smartphone aplikasi mobile bank enggak banget aman data  bahkan yang buka rekening online daftar aplikasi mobile online kalau begini ceritanya selamat tinggal bank aceh,"['ribet', 'ruwet', 'urus', 'action', 'bank', 'aceh', 'ganti', 'smartphone', 'bank', 'aceh', 'aktivasi', 'ulang', 'dgn', 'nasabah', 'tinggal', 'luar', 'aceh', 'pulang', 'aceh', 'kali', 'ganti', 'smartphone', 'aplikasi', 'mobile', 'bank', 'banget', 'aman', 'data', 'buka', 'rekening', 'online', 'daftar', 'aplikasi', 'mobile', 'online', 'cerita', 'selamat', 'tinggal', 'bank', 'aceh']",ribet ruwet urus action bank aceh ganti smartphone bank aceh aktivasi ulang dgn nasabah tinggal luar aceh pulang aceh kali ganti smartphone aplikasi mobile bank banget aman data buka rekening online daftar aplikasi mobile online cerita selamat tinggal bank aceh
Revanywulandari Revanywulandari,10/11/2023 9:19,1,padahal sudah masukin username sama password  benar malah salah terus biasanya tidak pernah salah hasil  di blokir mobile banking,-11,NEGATIVE,padahal masukin username sama password  benar malah salah terus biasanya pernah salah hasil  blokir mobile banking,"['masukin', 'username', 'password', 'salah', 'salah', 'hasil', 'blokir', 'mobile', 'banking']",masukin username password salah salah hasil blokir mobile banking
Nisa Saputra,10/10/2023 19:15,1,kenapa uang saya hilang terus saat saya cek pasti ke kirim atau hal lain sedangkan saya tidak pernah melakukan transaksi apapun,-14,NEGATIVE,uang hilang terus cek ke kirim hal sedangkan saya tidak pernah melakukan transaksi apapun,"['uang', 'hilang', 'cek', 'kirim', 'transaksi', 'apa']",uang hilang cek kirim transaksi apa
Fauzi Nasir,10/6/2023 22:47,1,aplikasi bodoh banget lihat mutasi dan bukti transfer saja enggak bisa,-3,NEGATIVE,aplikasi bodoh banget lihat mutasi bukti transfer enggak,"['aplikasi', 'bodoh', 'banget', 'lihat', 'mutasi', 'bukti', 'transfer']",aplikasi bodoh banget lihat mutasi bukti transfer
Indrawan Panigah,10/6/2023 7:58,5,kakak tambah fitur tarik tunai tanpa kartu atm cardless dan top up dana semoga direalisasikan,17,POSITIVE,kakak tambah fitur tarik tunai kartu atm cardless top up dana semoga direalisasikan,"['kakak', 'fitur', 'tarik', 'tunai', 'kartu', 'atm', 'cardless', 'top', 'up', 'dana', 'moga', 'realisasi']",kakak fitur tarik tunai kartu atm cardless top up dana moga realisasi
Abdullah Cutayah,10/5/2023 19:55,5,ini aplikasi bank yang bagus,-4,NEGATIVE,aplikasi bank bagus,"['aplikasi', 'bank', 'bagus']",aplikasi bank bagus
Thatam 07,10/5/2023 15:21,5,aplikasi sudah bagus tapi sayang tidak bisa top up dana tolong di perbaiki agar bisa top up ke dana,13,POSITIVE,aplikasi bagus sayang bisa top up dana di perbaiki bisa top up dana,"['aplikasi', 'bagus', 'sayang', 'top', 'up', 'dana', 'baik', 'top', 'up', 'dana']",aplikasi bagus sayang top up dana baik top up dana
Tajjul Mulki,10/4/2023 2:00,2,saya kirim pulsa melalui aplikasi ini uang sudah di potong tapi pulsanya masih belum masuk sampai sekarang dan di tulis disitu sedang di proses dari tanggal  september sampai sekarang tanggal  oktober masih di proses tolong bagaimana ini kakak,-18,NEGATIVE,kirim pulsa melalui aplikasi uang potong pulsanya belum masuk sekarang di tulis disitu sedang di proses tanggal  september sekarang tanggal  oktober di proses bagaimana kakak,"['kirim', 'pulsa', 'aplikasi', 'uang', 'potong', 'pulsa', 'masuk', 'tulis', 'situ', 'proses', 'tanggal', 'september', 'tanggal', 'oktober', 'proses', 'kakak']",kirim pulsa aplikasi uang potong pulsa masuk tulis situ proses tanggal september tanggal oktober proses kakak
Rekber Store,10/1/2023 17:50,1,kasih hadiah undang teman dan cashback scan qris,4,POSITIVE,kasih hadiah undang teman cashback scan qris,"['kasih', 'hadiah', 'undang', 'teman', 'cashback', 'scan', 'qris']",kasih hadiah undang teman cashback scan qris
Ika Lh,10/1/2023 13:58,4,kenapa ya untuk menu bayar pdam selalu koneksi terputus dan di suruh cek saldo padahal koneksibagus dan saldo juga ada mohon di tingkatkan,-1,NEGATIVE,ya menu bayar pdam selalu koneksi terputus suruh cek saldo padahal koneksibagus saldo ada mohon di tingkatkan,"['ya', 'menu', 'bayar', 'pdam', 'koneksi', 'putus', 'suruh', 'cek', 'saldo', 'koneksibagus', 'saldo', 'mohon', 'tingkat']",ya menu bayar pdam koneksi putus suruh cek saldo koneksibagus saldo mohon tingkat
REMIX OKE,9/30/2023 12:11,1,selalu transfer saldo terpotong uang tidak masuk tolong pak di perbaiki,-8,NEGATIVE,selalu transfer saldo terpotong uang masuk pak perbaiki,"['transfer', 'saldo', 'potong', 'uang', 'masuk', 'baik']",transfer saldo potong uang masuk baik
Dian Moenandar,9/28/2023 9:02,2,untuk aplikasi  bagus sangat membantu tapi ada beberapa pemotongan biaya admin dari pihak bank yang saya rasa terlalu banyak biaya  untuk  orang bayangkan saja ada ribuan orang memiliki tabungan ini terimakasih,-17,NEGATIVE,aplikasi  bagus sangat membantu ada beberapa pemotongan biaya admin pihak bank saya rasa terlalu banyak biaya   orang bayangkan ada ribuan orang memiliki tabungan terimakasih,"['aplikasi', 'bagus', 'bantu', 'potong', 'biaya', 'admin', 'bank', 'biaya', 'orang', 'bayang', 'ribu', 'orang', 'milik', 'tabung', 'terimakasih']",aplikasi bagus bantu potong biaya admin bank biaya orang bayang ribu orang milik tabung terimakasih
Wahyu Mp,9/27/2023 12:35,2,kenapa nggak bisa buat akun sih nomor atm  sudah benar tapi enggak bisa,-2,NEGATIVE,nggak buat akun sih nomor atm  benar enggak,"['nggak', 'akun', 'sih', 'nomor', 'atm']",nggak akun sih nomor atm
ali Muhammad,9/25/2023 13:50,1,agak kecewa dengan aplikasi ini dimana ketika mau daftar minta nomor kartu atm dan pin atm tapi waktu dimasukkan jawaban  maaf data anda tidak valid apa,-15,NEGATIVE,kecewa aplikasi dimana mau daftar minta nomor kartu atm pin atm waktu dimasukkan jawaban  maaf data tidak valid apa,"['kecewa', 'aplikasi', 'mana', 'daftar', 'nomor', 'kartu', 'atm', 'pin', 'atm', 'masuk', 'maaf', 'data', 'valid']",kecewa aplikasi mana daftar nomor kartu atm pin atm masuk maaf data valid
anton samadi,9/24/2023 13:14,5,saya baru saja melakukan instalasi perangkat saya dengan metode kembali ke setelan pabrik sebelumnya saya tidak cadangkan data saya kendala saya tidak bisa masuk kembali ke akun moblie banking saya bagaimana solusinya supaya saya bisa masuk kembali mohon bantuan,-48,NEGATIVE,baru melakukan instalasi perangkat dengan metode ke setelan pabrik sebelumnya tidak cadangkan data kendala tidak masuk ke akun moblie banking bagaimana solusinya saya masuk mohon bantuan,"['instalasi', 'perangkat', 'metode', 'setel', 'pabrik', 'cadang', 'data', 'kendala', 'masuk', 'akun', 'moblie', 'banking', 'solusi', 'masuk', 'mohon', 'bantu']",instalasi perangkat metode setel pabrik cadang data kendala masuk akun moblie banking solusi masuk mohon bantu
Fikriah,9/24/2023 1:07,1,kakak ini bagaimana sih datanya mengapa tidak ditemukan setelah saya isi pendaftarannya,-11,NEGATIVE,kakak bagaimana sih datanya tidak ditemukan saya isi pendaftarannya,"['kakak', 'sih', 'data', 'temu', 'isi', 'daftar']",kakak sih data temu isi daftar
teuku irwan,9/22/2023 21:34,4,cuma sulit sih kalau sudah mau masuk lagi harus masuk nama dan sandi lagi cuma nggak ada fitur jual pulsa atau beli token listrik,-23,NEGATIVE,cuma sulit sih kalau mau masuk harus masuk nama sandi cuma ada fitur jual pulsa beli token listrik,"['sulit', 'sih', 'masuk', 'masuk', 'nama', 'sandi', 'fitur', 'jual', 'pulsa', 'beli', 'token', 'listrik']",sulit sih masuk masuk nama sandi fitur jual pulsa beli token listrik
Fire Arrow,9/21/2023 0:42,1,telepon  di instal ulang giliran mau masuk nggak bisa banyak kali tingkahnya mana harus datangin ke kantor cabang terdekat sulit nggak seperti bank sebelah,-9,NEGATIVE,telepon  instal ulang giliran mau masuk bisa banyak kali tingkahnya mana datangin kantor cabang terdekat sulit seperti bank sebelah,"['telepon', 'instal', 'ulang', 'gilir', 'masuk', 'kali', 'tingkah', 'datangin', 'kantor', 'cabang', 'dekat', 'sulit', 'bank', 'belah']",telepon instal ulang gilir masuk kali tingkah datangin kantor cabang dekat sulit bank belah
Yudha Alfath,9/18/2023 13:54,2,fitur tarik tunai nggak ada ya,8,POSITIVE,fitur tarik tunai ada,"['fitur', 'tarik', 'tunai']",fitur tarik tunai
Ida Rosmiza,9/17/2023 20:48,3,cara pindah ke perangkat lain kenapa nggak bisa,-8,NEGATIVE,cara pindah perangkat kenapa bisa,"['pindah', 'perangkat']",pindah perangkat
Anang Sonjaya,9/16/2023 21:14,1,di tambah pendaftran online dong seperti bank bank lain,-2,NEGATIVE,tambah pendaftran online dong bank bank,"['pendaftran', 'online', 'bank', 'bank']",pendaftran online bank bank
Daswir,9/16/2023 14:28,5,tambahkan fitur salin nomor rekening bank kita sendiri agar mudah menyalin nomor rekening bank,-3,NEGATIVE,tambahkan fitur salin nomor rekening bank sendiri mudah menyalin nomor rekening bank,"['tambah', 'fitur', 'salin', 'nomor', 'rekening', 'bank', 'mudah', 'salin', 'nomor', 'rekening', 'bank']",tambah fitur salin nomor rekening bank mudah salin nomor rekening bank
Elda Putrie,9/12/2023 20:58,5,pokoknya aplikasi ini sangat membantu,-6,NEGATIVE,pokoknya aplikasi sangat membantu,"['pokok', 'aplikasi', 'bantu']",pokok aplikasi bantu
Aulia,9/12/2023 11:49,1,parah sangat beli pulsa xl diatas  ribu biaya admin  semakin besar bank lain mau berapa pun tetap rp  parah banget ini bank,-11,NEGATIVE,parah sangat beli pulsa xl diatas  ribu biaya admin  semakin besar bank mau berapa tetap rp  parah banget bank,"['parah', 'beli', 'pulsa', 'xl', 'atas', 'ribu', 'biaya', 'admin', 'bank', 'rp', 'parah', 'banget', 'bank']",parah beli pulsa xl atas ribu biaya admin bank rp parah banget bank
Asman Dang,9/7/2023 2:40,4,bank aceh harus lebih baik lagi dari sebelum  transaksi di agen action link harus bisa di tangkapan layar kan agar bisa di print di semua aplikasi printer mini dan dilengkapi lagi fitur  seperti aplikasi dana serta mutasi di jam  keatas biasa  nggak kelihatan harus nunggu besok tolong berikan yang terbaik lagi terimakasih,-27,NEGATIVE,bank aceh lebih baik dari  transaksi agen action link bisa tangkapan layar kan bisa print semua aplikasi printer mini dilengkapi fitur  aplikasi dana mutasi jam  keatas biasa  kelihatan nunggu besok berikan terbaik terimakasih,"['bank', 'aceh', 'transaksi', 'agen', 'action', 'link', 'tangkap', 'layar', 'print', 'aplikasi', 'printer', 'mini', 'lengkap', 'fitur', 'aplikasi', 'dana', 'mutasi', 'jam', 'atas', 'nunggu', 'besok', 'baik', 'terimakasih']",bank aceh transaksi agen action link tangkap layar print aplikasi printer mini lengkap fitur aplikasi dana mutasi jam atas nunggu besok baik terimakasih
Suhairi Nurdin (Dek Su),9/6/2023 14:53,1,aplikasi sampah kita ganti perangkat di persulit datang ke kantor kcp lambaro katanya di proses tunggu  hari sudah  minggu nggak di proses smartphone ke call center banyak ngomong buat pulsa habis saja nol bintang untuk aplikasi action,-18,NEGATIVE,aplikasi sampah ganti perangkat persulit datang kantor kcp lambaro katanya proses tunggu  hari  minggu di proses smartphone call center banyak ngomong buat pulsa habis nol bintang aplikasi action,"['aplikasi', 'sampah', 'ganti', 'perangkat', 'sulit', 'kantor', 'kcp', 'lambaro', 'proses', 'tunggu', 'minggu', 'proses', 'smartphone', 'call', 'center', 'ngomong', 'pulsa', 'habis', 'nol', 'bintang', 'aplikasi', 'action']",aplikasi sampah ganti perangkat sulit kantor kcp lambaro proses tunggu minggu proses smartphone call center ngomong pulsa habis nol bintang aplikasi action
Seulanga Blang malo,9/4/2023 14:15,1,sangat kecewa menggunakan qris bank aceh transaksi gagal tapi konsumen dana terpotong mohon di bantu sudah ke kantor layanan pelangggan nggak ada solusi,4,POSITIVE,sangat kecewa menggunakan qris bank aceh transaksi gagal konsumen dana terpotong mohon bantu ke kantor layanan pelangggan ada solusi,"['kecewa', 'qris', 'bank', 'aceh', 'transaksi', 'gagal', 'konsumen', 'dana', 'potong', 'mohon', 'bantu', 'kantor', 'layan', 'pelangggan', 'solusi']",kecewa qris bank aceh transaksi gagal konsumen dana potong mohon bantu kantor layan pelangggan solusi
Rahmad Bq,9/3/2023 21:49,1,lagi perlu   kecewa kirim ke bank lain sudah administrasi mahal terhambat pula,-5,NEGATIVE,perlu   kecewa kirim bank sudah administrasi mahal terhambat,"['kecewa', 'kirim', 'bank', 'administrasi', 'mahal', 'hambat']",kecewa kirim bank administrasi mahal hambat
Ikrima Nadhira,9/3/2023 17:15,4,semoga bisa menambahkan fitur top up ke shopeepay agar lebih memudahkan transaksi,9,POSITIVE,semoga menambahkan fitur top up shopeepay lebih memudahkan transaksi,"['moga', 'fitur', 'top', 'up', 'shopeepay', 'mudah', 'transaksi']",moga fitur top up shopeepay mudah transaksi
Amrullah Amr,9/2/2023 12:42,5,aplikasi yang bagus memudahkan dalam transaksi online,5,POSITIVE,aplikasi bagus memudahkan transaksi online,"['aplikasi', 'bagus', 'mudah', 'transaksi', 'online']",aplikasi bagus mudah transaksi online
ZulhiZ tamy,9/1/2023 23:18,3,kakak tolong tambahkan fitur top up dana dong,10,POSITIVE,kakak tambahkan fitur top up dana dong,"['kakak', 'tambah', 'fitur', 'top', 'up', 'dana']",kakak tambah fitur top up dana
Zul Fikar,9/1/2023 21:08,3,jaringan untuk masuk susah,-7,NEGATIVE,jaringan masuk susah,"['jaring', 'masuk', 'susah']",jaring masuk susah
uswatun hasana,9/1/2023 17:23,1,mohon aplikasinya di perbaiki lagi setiap saya masuk selalu lemot lambat buat emosi padahal koneksi koneksilancar saja kalau sudah di perbaiki lagi baru kasih bintang,-20,NEGATIVE,mohon aplikasinya perbaiki setiap masuk selalu lemot lambat buat emosi padahal koneksi koneksilancar kalau di perbaiki baru kasih bintang,"['mohon', 'aplikasi', 'baik', 'masuk', 'lot', 'lambat', 'emosi', 'koneksi', 'koneksilancar', 'baik', 'kasih', 'bintang']",mohon aplikasi baik masuk lot lambat emosi koneksi koneksilancar baik kasih bintang
Wal̨ Hamz̴,8/30/2023 23:18,2,kenapa nggak bisa masuk padahal sudah buka rekening tapi belum memiliki atm,-4,NEGATIVE,nggak masuk padahal buka rekening belum memiliki atm,"['nggak', 'masuk', 'buka', 'rekening', 'milik', 'atm']",nggak masuk buka rekening milik atm
Munirah IPA,8/22/2023 13:06,3,sangat bermanfaat bagi saya,-2,NEGATIVE,sangat bermanfaat saya,['manfaat'],manfaat
Owienda,8/21/2023 20:56,5,tambahkan juga menu pembayaran tagihan iconnet untuk mempermudah pembayaran,-3,NEGATIVE,tambahkan menu pembayaran tagihan iconnet mempermudah pembayaran,"['tambah', 'menu', 'bayar', 'tagih', 'iconnet', 'mudah', 'bayar']",tambah menu bayar tagih iconnet mudah bayar
zul khairi,8/19/2023 10:57,1,kesalahan data tidak di temukan apa solusinya itu tolong,-14,NEGATIVE,kesalahan data di temukan apa solusinya tolong,"['salah', 'data', 'temu', 'solusi', 'tolong']",salah data temu solusi tolong
Muda Al-Aziziyah,8/18/2023 19:27,5,proses aman selalu bank aceh,1,POSITIVE,proses aman selalu bank aceh,"['proses', 'aman', 'bank', 'aceh']",proses aman bank aceh
TeuKu DhaRis,8/18/2023 11:08,4,tolong ditambahkankan juga pembayaran pajak bumi dan bangunan untuk wilayah kabupaten aceh besar terimakasih,4,POSITIVE,ditambahkankan pembayaran pajak bumi bangunan wilayah kabupaten aceh besar terimakasih,"['ditambahkankan', 'bayar', 'pajak', 'bumi', 'bangun', 'wilayah', 'kabupaten', 'aceh', 'terimakasih']",ditambahkankan bayar pajak bumi bangun wilayah kabupaten aceh terimakasih
maulida suhefi,8/15/2023 16:49,3,kenapa aplikasinya tidak bisa di buka,-5,NEGATIVE,aplikasinya bisa buka,"['aplikasi', 'buka']",aplikasi buka
julia usnur,8/14/2023 16:08,4,ini suami saya sudah transfer tapi saya cek di aplikasi mengapa nggak masuk apa harus cek ke atm langsung,-24,NEGATIVE,suami sudah transfer saya cek aplikasi nggak masuk apa cek atm langsung,"['suami', 'transfer', 'cek', 'aplikasi', 'nggak', 'masuk', 'cek', 'atm', 'langsung']",suami transfer cek aplikasi nggak masuk cek atm langsung
Bawi Cuy,8/10/2023 11:31,3,enggak asik kakak atur ulang smartphone saja masak harus lapor layanan pelanggan lagi buat masuk lebih bagus pakai verifikasi kartu tanda penduduk seperti aplikasi bank sebelah,-4,NEGATIVE,enggak asik kakak atur ulang smartphone masak lapor layanan pelanggan buat masuk lebih bagus pakai verifikasi kartu tanda penduduk aplikasi bank sebelah,"['asik', 'kakak', 'atur', 'ulang', 'smartphone', 'masak', 'lapor', 'layan', 'langgan', 'masuk', 'bagus', 'pakai', 'verifikasi', 'kartu', 'tanda', 'duduk', 'aplikasi', 'bank', 'belah']",asik kakak atur ulang smartphone masak lapor layan langgan masuk bagus pakai verifikasi kartu tanda duduk aplikasi bank belah
Awak Awai (Wadi),8/10/2023 8:43,5,mohon perbaharui top up shoppingpay dana bos sangat dibutuhkan,10,POSITIVE,mohon perbaharui top up shoppingpay dana bos sangat dibutuhkan,"['mohon', 'baharu', 'top', 'up', 'shoppingpay', 'dana', 'bos', 'butuh']",mohon baharu top up shoppingpay dana bos butuh
J & M Project,8/10/2023 1:50,5,tambahin top up dana dong agar semakin oke,10,POSITIVE,tambahin top up dana dong semakin oke,"['tambahin', 'top', 'up', 'dana', 'oke']",tambahin top up dana oke
Diana Mbo,8/9/2023 10:38,5,sangat membantu kegiatan sehari hari,1,POSITIVE,sangat membantu kegiatan sehari hari,"['bantu', 'giat', 'hari']",bantu giat hari
Muhammad Faisal Hendriadi,8/8/2023 13:27,4,dari awal sampai sekarang tidak ada kendala apapun namun saya masih kurang puas karena ada beberapa menu yang tidak dimiliki oleh action mobile dari pada mobile banking lainnya yaitu salah satunya seperti menu top up untuk e commerce dan e wallet lain contoh  seperti dana shopeepay gopay dan lain lain semoga kedepannya bisa di tambahkan dan satu lagi tidak ada menu atau fitur untuk berinvestasi seperti emas logam mulia dan lainnya semoga kedepannya lebih banyak menu serta fitur tambahan,-34,NEGATIVE,awal sekarang kendala apapun saya kurang puas ada beberapa menu tidak dimiliki action mobile pada mobile banking lainnya salah satunya menu top up e commerce e wallet contoh  dana shopeepay gopay lain semoga kedepannya di tambahkan satu tidak ada menu fitur berinvestasi emas logam mulia lainnya semoga kedepannya lebih banyak menu fitur tambahan,"['kendala', 'apa', 'puas', 'menu', 'milik', 'action', 'mobile', 'mobile', 'banking', 'salah', 'satu', 'menu', 'top', 'up', 'e', 'commerce', 'e', 'wallet', 'contoh', 'dana', 'shopeepay', 'gopay', 'moga', 'depan', 'tambah', 'menu', 'fitur', 'investasi', 'emas', 'logam', 'mulia', 'moga', 'depan', 'menu', 'fitur', 'tambah']",kendala apa puas menu milik action mobile mobile banking salah satu menu top up e commerce e wallet contoh dana shopeepay gopay moga depan tambah menu fitur investasi emas logam mulia moga depan menu fitur tambah
Irzan RM17,8/6/2023 22:47,5,kakak bagaimana kalau pindah aplikasi ke smartphone lain mengapa tidak bisa ya,-8,NEGATIVE,kakak bagaimana kalau pindah aplikasi smartphone mengapa bisa,"['kakak', 'pindah', 'aplikasi', 'smartphone']",kakak pindah aplikasi smartphone
Sahriadin Isar,8/5/2023 3:19,4,saran mohon ditambahkan menu panarikan tunai tanpa kartu atm seperti bsi terimakasih,5,POSITIVE,saran mohon ditambahkan menu panarikan tunai kartu atm bsi terimakasih,"['saran', 'mohon', 'menu', 'panarikan', 'tunai', 'kartu', 'atm', 'bsi', 'terimakasih']",saran mohon menu panarikan tunai kartu atm bsi terimakasih
Intan Novita Sari,8/4/2023 13:10,4,saat buka aplikasi hilang layar smartphone berhenti di layar abu,-2,NEGATIVE,buka aplikasi hilang layar smartphone berhenti layar abu,"['buka', 'aplikasi', 'hilang', 'layar', 'smartphone', 'henti', 'layar', 'abu']",buka aplikasi hilang layar smartphone henti layar abu
Ramadhani Mulia,8/4/2023 11:43,1,enggak bisa di buka di smartphone saya redmi note  s,-2,NEGATIVE,enggak buka di smartphone redmi note  s,"['buka', 'smartphone', 'redmi', 'note', 's']",buka smartphone redmi note s
bedesabai,8/3/2023 23:08,1,bangai that aplikasi payah peget secara manual hana kemajuan sapu daftar online hana jeutdumpu beumeceh tajak bak bank koen tapeumudah nasabah malah tatem boh wate untuk tameuantriujoe meuruno peget cara ngat jeut daftar online ngat bek payah tajak bak bankikamoe ureung gasin oeh kenong ac  uroe ipeuek demam tok gara jak bak bankdan trep tameuantri,-14,NEGATIVE,bangai that aplikasi payah peget manual hana kemajuan sapu daftar online hana jeutdumpu beumeceh tajak bak bank koen tapeumudah nasabah malah tatem boh wate tameuantriujoe meuruno peget cara ngat jeut daftar online ngat bek payah tajak bak bankikamoe ureung gasin oeh kenong ac  uroe ipeuek demam tok gara jak bak bankdan trep tameuantri,"['bangai', 'that', 'aplikasi', 'payah', 'peget', 'manual', 'hana', 'maju', 'sapu', 'daftar', 'online', 'hana', 'jeutdumpu', 'beumeceh', 'tajak', 'bak', 'bank', 'koen', 'tapeumudah', 'nasabah', 'tatem', 'boh', 'wate', 'tameuantriujoe', 'meuruno', 'peget', 'ngat', 'jeut', 'daftar', 'online', 'ngat', 'bek', 'payah', 'tajak', 'bak', 'bankikamoe', 'ureung', 'gasin', 'oeh', 'kenong', 'ac', 'uroe', 'ipeuek', 'demam', 'tok', 'gara', 'jak', 'bak', 'bankdan', 'trep', 'tameuantri']",bangai that aplikasi payah peget manual hana maju sapu daftar online hana jeutdumpu beumeceh tajak bak bank koen tapeumudah nasabah tatem boh wate tameuantriujoe meuruno peget ngat jeut daftar online ngat bek payah tajak bak bankikamoe ureung gasin oeh kenong ac uroe ipeuek demam tok gara jak bak bankdan trep tameuantri
Iskandar Miyani Muda,8/2/2023 7:14,1,tolong aplikasinya diperbaiki lagi masih eror aplikasinya,-6,NEGATIVE,aplikasinya diperbaiki masih eror aplikasinya,"['aplikasi', 'baik', 'eror', 'aplikasi']",aplikasi baik eror aplikasi
Zulfikri,8/2/2023 3:07,4,bintang  dulu kalau sudah ditambah untuk top up dana baru bintang,9,POSITIVE,bintang  dulu kalau ditambah top up dana baru bintang,"['bintang', 'tambah', 'top', 'up', 'dana', 'bintang']",bintang tambah top up dana bintang
Raja Ratu,7/31/2023 17:02,3,saldo masih ada tapi saat transfer saldo tidak cukup aduh,-7,NEGATIVE,saldo ada saat transfer saldo cukup aduh,"['saldo', 'transfer', 'saldo', 'aduh']",saldo transfer saldo aduh
UDHWANSYAH IWAN,7/30/2023 11:49,5,lupa pasword  nggak bisa masuk lagi sudah lapor ke layanan pelanggan bank aceh tapi belum bisa aktif ditunggu ya,5,POSITIVE,lupa pasword  masuk sudah lapor layanan pelanggan bank aceh belum bisa aktif ditunggu,"['lupa', 'pasword', 'masuk', 'lapor', 'layan', 'langgan', 'bank', 'aceh', 'aktif', 'tunggu']",lupa pasword masuk lapor layan langgan bank aceh aktif tunggu
Koyo Cabe,7/29/2023 23:13,5,aplikasi  bagus tolong dong perbanyak atm bank aceh,2,POSITIVE,aplikasi  bagus dong perbanyak atm bank aceh,"['aplikasi', 'bagus', 'banyak', 'atm', 'bank', 'aceh']",aplikasi bagus banyak atm bank aceh
Zuhur Kurniawan,7/28/2023 13:35,5,pelayanan dengan action bank aceh sangat membantu saya dalam bertransaksi tapi mohon buat bank aceh untuk menambahkan top up ke aplikasi dana,13,POSITIVE,pelayanan action bank aceh sangat membantu dalam bertransaksi mohon buat bank aceh menambahkan top up aplikasi dana,"['layan', 'action', 'bank', 'aceh', 'bantu', 'transaksi', 'mohon', 'bank', 'aceh', 'top', 'up', 'aplikasi', 'dana']",layan action bank aceh bantu transaksi mohon bank aceh top up aplikasi dana
mr. k,7/25/2023 13:07,4,mantap tapi kapan bisa tarik tunai tanpa kartu di atm,10,POSITIVE,mantap kapan tarik tunai kartu atm,"['mantap', 'tarik', 'tunai', 'kartu', 'atm']",mantap tarik tunai kartu atm
Andi bm,7/24/2023 10:41,3,saya baru ganti smartphone kenapa action mobile  nggak bisa di buka ya kata  pasword salah padahal sudah benar,-6,NEGATIVE,baru ganti smartphone action mobile  bisa buka kata  pasword salah padahal benar,"['ganti', 'smartphone', 'action', 'mobile', 'buka', 'pasword', 'salah']",ganti smartphone action mobile buka pasword salah
